ticker,name,sector,cap
NIACL.NS,The New India Assurance Company Ltd.,Financial Services,Mid
RAMCOCEM.NS,The Ramco Cements Ltd.,Construction Materials,Small
THERMAX.NS,Thermax Ltd.,Capital Goods,Mid
TIMKEN.NS,Timken India Ltd.,Capital Goods,Small
TITAGARH.NS,Titagarh Rail Systems Ltd.,Capital Goods,Small
TITAN.NS,Titan Company Ltd.,Consumer Durables,Large
TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,Healthcare,Large
TORNTPOWER.NS,Torrent Power Ltd.,Power,Mid
TARIL.NS,Transformers And Rectifiers (India) Ltd.,Capital Goods,Small
TRAVELFOOD.NS,Travel Food Services Ltd.,Consumer Services,Small
TRENT.NS,Trent Ltd.,Consumer Services,Large
TRIDENT.NS,Trident Ltd.,Textiles,Small
TRITURBINE.NS,Triveni Turbine Ltd.,Capital Goods,Small
TIINDIA.NS,Tube Investments of India Ltd.,Automobile and Auto Components,Mid
UCOBANK.NS,UCO Bank,Financial Services,Small
UNOMINDA.NS,UNO Minda Ltd.,Automobile and Auto Components,Mid
UPL.NS,UPL Ltd.,Chemicals,Mid
UTIAMC.NS,UTI Asset Management Company Ltd.,Financial Services,Small
ULTRACEMCO.NS,UltraTech Cement Ltd.,Construction Materials,Large
UNIONBANK.NS,Union Bank of India,Financial Services,Large
UBL.NS,United Breweries Ltd.,Fast Moving Consumer Goods,Mid
UNITDSPR.NS,United Spirits Ltd.,Fast Moving Consumer Goods,Large
URBANCO.NS,Urban Company Ltd.,Consumer Services,Small
USHAMART.NS,Usha Martin Ltd.,Capital Goods,Small
VTL.NS,Vardhman Textiles Ltd.,Textiles,Small
VBL.NS,Varun Beverages Ltd.,Fast Moving Consumer Goods,Large
VEDL.NS,Vedanta Ltd.,Metals & Mining,Large
VIJAYA.NS,Vijaya Diagnostic Centre Ltd.,Healthcare,Small
VMM.NS,Vishal Mega Mart Ltd.,Consumer Services,Mid
IDEA.NS,Vodafone Idea Ltd.,Telecommunication,Mid
VOLTAS.NS,Voltas Ltd.,Consumer Durables,Mid
WAAREEENER.NS,Waaree Energies Ltd.,Capital Goods,Mid
WELCORP.NS,Welspun Corp Ltd.,Capital Goods,Small
WELSPUNLIV.NS,Welspun Living Ltd.,Textiles,Small
WHIRLPOOL.NS,Whirlpool of India Ltd.,Consumer Durables,Small
WIPRO.NS,Wipro Ltd.,Information Technology,Large
WOCKPHARMA.NS,Wockhardt Ltd.,Healthcare,Small
YESBANK.NS,Yes Bank Ltd.,Financial Services,Mid
ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,Small
ZEEL.NS,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,Small
